Team,Player,NBA,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,LaneAgilityTime,ShuttleRun,ThreeQuarterSprint,StandingVerticalLeap,MaxVerticalLeap,MaxBenchPress,BodyFat%,HandLength,HandWidth,HeightNoShoes,HeightShoes,StandingReach,Weight,Wingspan,PID,Pk,DraftTeam,RkYear,HeightShoesC,HeightNoShoesC,StandingReachC,WingspanC
duke,Kyrie Irving,1,11,8,27.5,5,9.5,0.529,3.4,5.9,0.569,1.6,3.5,0.462,5.8,6.5,0.901,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,PG,0,0,0,0,0,0,10.20%,8.25,9.25,6 1.75,6 3.5,8 3,191,6 4,irvinky01,1,CLE,2011,6.291666667,6.145833333,8.25,6.333333333
kansas,Josh Selby,1,26,11,20.4,2.8,7.4,0.373,1.5,3.8,0.384,1.3,3.6,0.362,1.1,1.4,0.757,0.4,1.8,2.2,2.2,0.8,0,2,1.7,7.9,0,,0,,0,,0,,0,,0,,0,,0,selbyjo01,49,MEM,2011,0,,0,
oakland,Keith Benson,1,35,35,32.4,6.6,12.1,0.547,6.3,11.4,0.556,0.3,0.7,0.391,4.5,7,0.643,2.7,7.5,10.1,1.1,0.8,3.6,1.9,3.1,17.9,0,,0,,0,,0,,0,,0,,0,,0,bensoke02,48,ATL,2011,0,,0,
tennessee,Tobias Harris,1,34,33,29.2,5.4,11.8,0.46,4.8,9.6,0.497,0.7,2.2,0.303,3.8,5,0.753,2,5.3,7.3,1.3,0.7,0.9,1.8,2.1,15.3,0,,0,,0,,0,,0,,0,,0,,0,harrito02,19,CHA,2011,0,,0,
texas,Tristan Thompson,1,36,34,30.7,4.8,8.8,0.546,4.8,8.8,0.546,0,0,0,3.5,7.3,0.487,3.8,4,7.8,1.3,0.9,2.4,1.8,2.8,13.1,PF,10.92,0,3.26,30.0,35.0,9,6.20%,8.75,9.25,6 7.5,6 8.75,9 0.5,227.4,7 1.25,thomptr01,4,CLE,2011,6.729166667,6.625,9.041666667,7.104166667
texas,Cory Joseph,1,36,36,32.4,3.8,8.9,0.422,2.3,5.4,0.429,1.4,3.5,0.413,1.4,2,0.699,0.6,2.9,3.6,3,1,0.3,1.5,1.8,10.4,PG,10.75,0,3.27,27.5,35.0,5,9.70%,8.50,10.50,6 2,6 3.25,8 3,186.2,6 5.5,josepco01,29,SAS,2011,6.270833333,6.166666667,8.25,6.458333333
louisiana-state,Justin Hamilton,1,33,32,30,4.8,9.7,0.494,4.7,9.3,0.503,0.1,0.4,0.25,3.2,4.2,0.781,3.3,3.9,7.2,0.9,0.8,1.3,1.7,2.5,12.9,0,,0,,0,,0,,0,,0,,0,,0,hamilju01,45,PHI,2012,0,,0,
virginia,Mike Scott,1,32,32,31.2,6.7,11.9,0.563,6.5,11.3,0.577,0.2,0.6,0.3,4.3,5.4,0.808,2.2,6.1,8.3,1.2,0.7,0.5,2.1,1.8,18,PF,11.59,0,3.44,27.0,32.5,14,10.60%,8.50,9.00,6 7.25,6 8.75,8 8,240.8,6 10.75,scottmi01,43,ATL,2012,6.729166667,6.604166667,8.666666667,6.895833333
gonzaga,Robert Sacre,1,33,33,26.3,3.5,6.9,0.511,3.5,6.9,0.515,0,0.1,0,4.5,6,0.761,2,4.3,6.3,0.7,0.4,1.4,1.8,2.2,11.6,0,,0,,0,,0,,0,,0,,0,,0,sacrero01,60,LAL,2012,0,,0,
baylor,Quincy Acy,1,38,38,29.7,4.2,7.2,0.577,4.1,7.1,0.576,0.1,0.1,0.6,3.6,4.6,0.782,2.6,4.8,7.4,1,0.9,1.8,1.9,3.1,12,PF,10.48,0,3.28,32.0,37.0,13,7.10%,9.50,11.00,6 6.5,6 7.75,8 10.5,223.8,7 2.75,acyqu01,37,TOR,2012,6.645833333,6.541666667,8.875,7.229166667
duke,Miles Plumlee,1,34,16,20.5,2.6,4.3,0.61,2.6,4.3,0.61,0,0,0,1.4,2.2,0.632,2.9,4.2,7.1,0.5,0.5,0.9,1.2,2.3,6.6,0,,0,,0,,0,,0,,0,,0,,0,plumlmi01,26,IND,2012,0,,0,
kansas,Tyshawn Taylor,1,39,38,33.4,5.8,12.2,0.477,4.3,8.3,0.522,1.5,3.9,0.382,3.5,5.1,0.688,0.2,2.1,2.3,4.8,1.3,0.2,3.5,2,16.6,PG,11.48,0,3.20,32.0,36.5,0,4.20%,8.75,8.75,6 2.75,6 4,8 1.5,177,6 6.25,tayloty01,41,POR,2012,6.333333333,6.229166667,8.125,6.520833333
michigan-state,Draymond Green,1,37,36,33.2,5.7,12.8,0.449,4.3,9.1,0.473,1.4,3.6,0.388,3.4,4.7,0.723,2.1,8.5,10.6,3.8,1.5,0.9,3,2.8,16.2,0,,0,,0,,0,,0,,0,,0,,0,greendr01,35,GSW,2012,0,,0,
syracuse,Kris Joseph,1,37,37,32.2,4.4,10.5,0.421,3.1,6.5,0.467,1.4,4,0.345,3.2,4.2,0.745,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7,13.4,SG,0,0,3.46,28.5,35.0,6,8.60%,9.00,9.00,6 6,6 7,8 8,215,6 11,josepkr01,51,BOS,2012,6.583333333,6.5,8.666666667,6.916666667
mississippi-state,Arnett Moultrie,1,30,30,35.8,6,10.9,0.549,5.7,10.3,0.555,0.3,0.6,0.444,4.1,5.3,0.78,3.7,6.8,10.5,1.2,0.8,0.8,2.4,2.2,16.4,PF,11.32,0,3.22,33.5,37.5,10,7.70%,9.25,9.25,6 9.5,6 10.75,8 10.5,232.8,7 2.25,moultar01,27,MIA,2012,6.895833333,6.791666667,8.875,7.1875
vanderbilt,Jeffery Taylor,1,36,36,32.1,5.8,11.8,0.493,4,7.5,0.533,1.8,4.3,0.423,2.6,4.4,0.605,2.1,3.4,5.6,1.7,1.3,0.4,2.2,1.9,16.1,0,,0,,0,,0,,0,,0,,0,,0,,31,CHA,2012,0,,0,
vanderbilt,Festus Ezeli,1,26,22,23.2,3.4,6.3,0.539,3.4,6.3,0.539,0,0,0,3.2,5.3,0.604,2.4,3.5,5.9,0.3,0.4,2,2.2,3.2,10.1,0,,0,,0,,0,,0,,0,,0,,0,ezelife01,30,GSW,2012,0,,0,
kansas,Thomas Robinson,1,39,39,31.8,6.7,13.3,0.505,6.5,12.9,0.505,0.2,0.4,0.5,4.2,6.1,0.682,2.9,9,11.9,1.8,1.1,0.9,2.7,2.7,17.7,PF,11.96,0,3.17,28.5,35.5,15,5.00%,9.75,10.50,6 7.75,6 8.75,8 10,244.2,7 3.25,robinth01,5,SAC,2012,6.729166667,6.645833333,8.833333333,7.270833333
marquette,Darius Johnson-Odom,1,34,33,32.9,6.2,13.8,0.447,3.9,7.9,0.493,2.3,5.9,0.385,3.7,4.9,0.764,0.6,2.9,3.5,2.7,0.9,0.1,2.4,2,18.3,SG,10.76,0,3.21,33.5,41.5,17,7.00%,8.75,8.75,6 1.5,6 3,8 0,212,6 7,johnsda03,55,DAL,2012,6.25,6.125,8,6.583333333
texas-am,Khris Middleton,1,20,17,28.8,5.1,12.3,0.415,4.1,8.5,0.485,1,3.9,0.26,2,2.6,0.75,1.3,3.7,5,2.3,1,0.3,2.2,1.9,13.2,SF,11.45,0,3.47,28.0,31.0,4,7.80%,9.00,9.00,6 6.75,6 8.25,8 7,216.2,6 10.75,middlkh01,39,DET,2012,6.6875,6.5625,8.583333333,6.895833333
vanderbilt,John Jenkins,1,35,35,33.6,6.2,13.1,0.474,2.4,4.4,0.542,3.8,8.7,0.439,3.7,4.4,0.837,0.5,2.4,2.9,1.2,0.8,0.3,1.6,1.2,19.9,SG,11.36,0,3.37,30.5,36.5,10,7.10%,9.00,9.00,6 3.25,6 4.25,8 2,212,6 8.5,jenkijo01,23,ATL,2012,6.354166667,6.270833333,8.166666667,6.708333333
baylor,Perry Jones,1,33,33,30.7,5.5,11,0.5,5.2,10,0.52,0.3,1,0.303,2.2,3.1,0.696,2.7,4.9,7.6,1.3,0.8,0.6,1.7,2.3,13.5,0,,0,,0,,0,,0,,0,,0,,0,jonespe01,28,OKC,2012,0,,0,
connecticut,Jeremy Lamb,1,34,34,37.2,6.4,13.4,0.478,4.3,7.1,0.601,2.1,6.2,0.336,2.9,3.6,0.81,0.9,3.9,4.9,1.7,1.2,0.6,2,1.7,17.7,SG,10.98,0,3.25,31.5,38.0,5,4.50%,8.75,9.25,6 4,6 5.25,8 6,179.2,6 11,lambje01,12,HOU,2012,6.4375,6.333333333,8.5,6.916666667
illinois,Meyers Leonard,1,32,29,31.8,5.3,9.1,0.584,5.3,8.8,0.604,0,0.3,0.091,2.9,4,0.732,2.3,5.9,8.2,1.3,0.5,1.9,2.1,2.9,13.6,C,11.34,0,3.41,30.0,32.5,19,5.70%,9.25,11.00,6 11.75,7 1.25,9 0,249.8,7 3,leoname01,11,POR,2012,7.104166667,6.979166667,9,7.25
marquette,Jae Crowder,1,35,35,32.9,6.2,12.5,0.498,4.5,7.4,0.602,1.7,5.1,0.345,3.4,4.6,0.735,2,6.4,8.4,2.1,2.5,1,1.3,2.7,17.5,SF,11.45,0,3.37,31.0,34.5,20,9.00%,9.50,10.50,6 4.75,6 6.5,8 3.5,241.2,6 9.25,crowdja01,34,CLE,2012,6.541666667,6.395833333,8.291666667,6.770833333
ohio-state,Jared Sullinger,1,37,36,30.4,6.2,11.9,0.519,5.7,10.8,0.531,0.4,1.1,0.4,4.7,6.2,0.768,3.1,6.1,9.2,1.2,1.2,1.1,1.9,2.9,17.5,PF,12.77,0,3.81,29.5,31.0,9,10.70%,9.25,9.75,6 7.75,6 9,8 9.5,268.2,7 1.25,sullija01,21,BOS,2012,6.75,6.645833333,8.791666667,7.104166667
syracuse,Dion Waiters,1,37,0,24.1,4.6,9.6,0.476,3.5,6.6,0.529,1.1,3.1,0.363,2.3,3.2,0.729,0.5,1.8,2.3,2.5,1.8,0.3,1.3,1.9,12.6,SG,0,0,0,0,0,0,8.50%,8.50,9.50,6 2.5,6 4,8 2,221,6 7.25,waitedi01,4,CLE,2012,6.333333333,6.208333333,8.166666667,6.604166667
syracuse,Fab Melo,1,30,30,25.4,3.3,5.8,0.566,3.3,5.8,0.566,0,0,0,1.3,2,0.633,2.7,3.2,5.8,0.7,0.5,2.9,1.4,2.8,7.8,C,12.14,0,3.44,29.5,31.0,9,9.20%,9.00,10.00,6 10.75,7 0,9 2,255,7 2.5,melofa01,22,BOS,2012,7,6.895833333,9.166666667,7.208333333
baylor,Quincy Miller,1,37,35,24.4,3.7,8.4,0.447,3.1,6.5,0.475,0.6,1.9,0.348,2.5,3.1,0.816,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9,10.6,SF,11.05,0,3.48,30.5,36.0,8,7.80%,9.25,10.25,6 8.75,6 10,8 9,218.7,7 1.25,millequ01,38,DEN,2012,6.833333333,6.729166667,8.75,7.104166667
connecticut,Andre Drummond,1,34,30,28.4,4.6,8.6,0.538,4.6,8.5,0.541,0,0.1,0,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10,C,10.83,0,3.39,31.5,33.5,10,7.50%,9.50,9.50,6 9.75,6 11.75,9 1.5,278.6,7 6.25,drumman01,9,DET,2012,6.979166667,6.8125,9.125,7.520833333
duke,Austin Rivers,1,34,33,33.2,5.1,11.8,0.433,3.4,7.1,0.477,1.7,4.7,0.365,3.6,5.4,0.658,0.6,2.8,3.4,2.1,1,0,2.3,2.2,15.5,0,,0,,0,,0,,0,,0,,0,,0,riverau01,10,NOH,2012,0,,0,
florida,Bradley Beal,1,37,37,34.2,4.7,10.6,0.445,3,5.6,0.541,1.7,5,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,SG,10.95,0,3.28,33.0,39.0,8,6.00%,8.50,9.00,6 3.25,6 4.75,8 4,201.8,6 8,bealbr01,3,WAS,2012,6.395833333,6.270833333,8.333333333,6.666666667
iowa-state,Royce White,1,34,33,31.5,5.1,9.6,0.534,5,9.3,0.541,0.1,0.4,0.333,3,6,0.498,2.5,6.8,9.3,5,1.2,0.9,3.8,2.6,13.4,PF,0,0,0,0,0,0,10.60%,9.50,11.50,6 7,6 8,8 8.5,260.6,7 0,whitero03,16,HOU,2012,6.666666667,6.583333333,8.708333333,7
oregon-state,Jared Cunningham,1,36,35,34.6,5.5,12.2,0.45,4.1,8.1,0.507,1.4,4.1,0.338,5.5,7.5,0.737,1,2.8,3.8,2.8,2.5,0.4,2.8,2.4,17.9,0,,0,,0,,0,,0,,0,,0,,0,cunnija01,24,CLE,2012,0,,0,
arizona,Solomon Hill,1,35,35,33,4.5,9.9,0.458,2.9,5.7,0.508,1.6,4.2,0.39,2.7,3.5,0.766,1.7,3.6,5.3,2.7,1.1,0.6,2.2,2.2,13.4,SF,10.77,2.91,3.19,29.5,37.5,14,7.60%,9.00,10.50,6 5.5,6 7,8 7,226,6 9,hillso01,23,IND,2013,6.583333333,6.458333333,8.583333333,6.75
duke,Mason Plumlee,1,36,36,34.7,6.1,10.3,0.599,6.1,10.3,0.599,0,0,0,4.8,7.1,0.681,2.7,7.2,9.9,1.9,1,1.4,2.9,2.6,17.1,0,,0,,0,,0,,0,,0,,0,,0,plumlma01,22,BRK,2013,0,,0,
duke,Ryan Kelly,1,23,23,28.9,4.2,9.2,0.453,2.7,5.6,0.473,1.5,3.6,0.422,3,3.7,0.812,1.6,3.7,5.3,1.7,0.7,1.6,1,2.4,12.9,PF,0,0,0,0,0,0,14.75%,9.00,10.00,6 9.75,6 11.75,9 2,228,6 11.5,kellyry01,48,LAL,2013,6.979166667,6.8125,9.166666667,6.958333333
florida,Erik Murphy,1,36,34,26.4,4.6,8.8,0.516,2.6,4.4,0.579,2,4.4,0.453,1.1,1.4,0.784,1.6,3.9,5.5,1.4,0.6,0.7,1.4,2.8,12.2,PF,12.19,2.96,3.57,24.5,29.5,13,7.95%,8.75,9.75,6 8.75,6 9.5,9 0,239.8,6 10.5,murpher01,49,CHI,2013,6.791666667,6.729166667,9,6.875
gonzaga,Kelly Olynyk,1,32,27,26.4,6.7,10.7,0.629,6.4,9.8,0.66,0.3,0.9,0.3,4.1,5.3,0.776,2.4,4.9,7.3,1.7,0.7,1.1,2.4,2.3,17.8,0,,0,,0,,0,,0,,0,,0,,0,olynyke01,13,DAL,2013,0,,0,
kansas,Jeff Withey,1,37,36,30.9,5,8.6,0.582,5,8.6,0.58,0,0,1,3.7,5.2,0.714,2.1,6.4,8.5,0.9,0.8,3.9,2,2.1,13.7,C,12.49,3.29,3.47,26.5,29.0,10,8.65%,9.00,9.75,6 10.75,7 0.5,9 2.5,221.8,7 2,witheje01,39,POR,2013,7.041666667,6.895833333,9.208333333,7.166666667
arizona-state,Carrick Felix,1,35,34,35.3,5.4,10.8,0.5,3.9,6.8,0.573,1.5,4,0.374,2.3,3.5,0.664,2.1,6.1,8.1,1.6,1.4,1.1,2,3,14.6,0,,0,,0,,0,,0,,0,,0,,0,felixca01,33,CLE,2013,0,,0,
california,Allen Crabbe,1,33,33,36.2,6.5,14.2,0.459,4.6,8.6,0.532,1.9,5.6,0.348,3.4,4.2,0.813,1,5.1,6.1,2.6,1.1,0.7,2.5,2.1,18.4,SG,10.67,3.10,3.32,30.5,36.0,10,4.65%,8.25,8.50,6 5.25,6 6.25,8 7.5,197.4,6 11.25,crabbal01,31,CLE,2013,6.520833333,6.4375,8.625,6.9375
colorado,Andre Roberson,1,31,30,33.4,4.3,8.9,0.48,3.6,7,0.521,0.6,1.9,0.328,1.7,3.2,0.551,3,8.2,11.2,1.4,2.2,1.3,2.4,2.5,10.9,0,,0,,0,,0,,0,,0,,0,,0,roberan03,26,MIN,2013,0,,0,
indiana,Victor Oladipo,1,36,36,28.4,5.1,8.4,0.599,4.2,6.6,0.644,0.8,1.9,0.441,2.7,3.6,0.746,2.6,3.7,6.3,2.1,2.2,0.8,2.3,2.5,13.6,SG,10.69,3.14,3.25,33.0,42.0,15,6.55%,8.75,9.25,6 3.25,6 4.25,8 4.5,213.2,6 9.25,oladivi01,2,ORL,2013,6.354166667,6.270833333,8.375,6.770833333
michigan,Tim Hardaway,1,38,38,34.8,5.3,12.1,0.437,3.4,7,0.483,1.9,5.1,0.374,2,2.9,0.694,0.2,4.4,4.7,2.4,0.7,0.4,1.9,1.9,14.5,0,,0,,0,,0,,0,,0,,0,,0,hardati02,24,NYK,2013,0,,0,
san-diego-state,Jamaal Franklin,1,32,32,33.1,5.2,12.5,0.411,3.9,7.9,0.492,1.3,4.6,0.272,5.3,6.8,0.781,1.8,7.8,9.5,3.3,1.6,0.8,3.4,2.6,16.9,0,,0,,0,,0,,0,,0,,0,,0,frankja01,41,MEM,2013,0,,0,
baylor,Pierre Jackson,1,36,35,34.8,6,14.1,0.427,3.6,7.3,0.49,2.4,6.8,0.359,5.3,6.7,0.8,0.7,3.1,3.8,7.1,1.5,0,3.4,2.2,19.8,PG,0,0,0,0,0,0,4.50%,7.50,8.25,5 9.5,5 10.5,7 6,176,5 10,jackspi01,42,PHI,2013,5.875,5.791666667,7.5,5.833333333
georgetown,Otto Porter,1,31,30,35.4,5.4,11.3,0.48,4,8,0.504,1.4,3.3,0.422,3.9,5.1,0.777,1.8,5.7,7.5,2.7,1.8,0.9,1.5,2,16.2,SF,11.25,3.06,3.40,27.0,36.0,9,6.65%,8.75,9.25,6 7.5,6 8.5,8 9.5,197.6,7 1.5,porteot01,3,WAS,2013,6.708333333,6.625,8.791666667,7.125
georgia,Kentavious Caldwell-Pope,1,32,30,33.9,5.8,13.4,0.433,3.2,6.4,0.498,2.6,7,0.373,4.2,5.3,0.799,1.2,5.9,7.1,1.8,2,0.5,2,2.2,18.5,SG,10.60,3.20,3.12,29.0,34.5,7,6.45%,8.50,9.00,6 4.5,6 5.5,8 4.5,203.6,6 8,caldwke01,8,DET,2013,6.458333333,6.375,8.375,6.666666667
indiana,Cody Zeller,1,36,36,29.5,5.5,9.8,0.564,5.5,9.8,0.567,0,0.1,0,5.4,7.2,0.757,2.8,5.2,8,1.3,1,1.3,2.3,2.2,16.5,0,,0,,0,,0,,0,,0,,0,,0,zelleco01,4,CHA,2013,0,,0,
miami-fl,Shane Larkin,1,36,35,36.4,5.1,10.6,0.479,3.2,5.9,0.538,1.9,4.7,0.406,2.4,3.1,0.777,0.5,3.4,3.8,4.6,2,0.1,2.3,1.6,14.5,PG,10.64,3.03,3.08,34.5,44.0,12,3.80%,7.50,8.75,5 10.25,5 11.5,7 5.5,170.8,5 10.75,larkish01,18,ATL,2013,5.958333333,5.854166667,7.458333333,5.895833333
michigan,Trey Burke,1,39,39,35.3,6.6,14.4,0.463,4.7,9.3,0.506,1.9,5.1,0.384,3.4,4.3,0.801,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9,18.6,PG,11.20,3.01,3.16,29.5,36.5,3,6.90%,8.25,8.75,5 11.75,6 1.25,8 1.5,187,6 5.5,burketr01,9,MIN,2013,6.104166667,5.979166667,8.125,6.458333333
syracuse,Michael Carter-Williams,1,40,40,35.2,3.9,9.9,0.393,3,6.9,0.436,0.9,3,0.294,3.2,4.7,0.694,1.3,3.7,5,7.3,2.7,0.5,3.5,2.3,11.9,PG,10.68,3.70,3.22,31.5,41.0,8,4.40%,7.50,8.50,6 4.75,6 5.75,8 5,184.4,6 7.25,cartemi01,11,PHI,2013,6.479166667,6.395833333,8.416666667,6.604166667
arizona,Grant Jerrett,1,34,2,17.8,1.9,4.5,0.409,0.9,2.2,0.413,0.9,2.3,0.405,0.5,0.6,0.818,1.1,2.5,3.6,0.5,0.5,1,0.6,1.3,5.2,PF,11.85,3.23,3.51,28.5,34.0,2,10.05%,8.50,9.25,6 8.75,6 10.25,9 1,232,7 2,jerregr01,40,POR,2013,6.854166667,6.729166667,9.083333333,7.166666667
bucknell,Mike Muscala,1,34,34,31.7,6.7,13.1,0.509,6.6,12.6,0.519,0.1,0.5,0.25,5.3,6.7,0.789,2.9,8.2,11.1,2.3,0.5,2.4,1.7,2.2,18.7,0,,0,,0,,0,,0,,0,,0,,0,muscami01,44,DAL,2013,0,,0,
detroit-mercy,Ray McCallum,1,33,33,36.6,6.5,13.2,0.491,5.2,9.3,0.562,1.3,3.9,0.323,4.5,6.2,0.717,1.3,3.8,5.1,4.5,1.9,0.6,2.1,2,18.7,PG,10.82,3.08,3.25,30.5,40.0,5,7.30%,8.00,8.75,6 0.25,6 1.75,8 0.5,191.4,6 3.25,mccalra01,36,SAC,2013,6.145833333,6.020833333,8.041666667,6.270833333
kansas,Ben McLemore,1,37,36,32.2,5.4,10.8,0.495,3.4,6.1,0.553,2,4.7,0.42,3.2,3.7,0.87,1.3,3.9,5.2,2,1,0.7,2.1,1.9,15.9,SG,11.87,3.11,3.27,32.5,42.0,6,5.00%,8.75,9.50,6 3.5,6 4.75,8 4.5,189.2,6 7.75,mclembe01,7,SAC,2013,6.395833333,6.291666667,8.375,6.645833333
maryland,Alex Len,1,38,37,26.4,4.6,8.5,0.534,4.5,8.3,0.544,0,0.2,0.125,2.8,4,0.686,2.9,5,7.8,1,0.2,2.1,1.6,2.7,11.9,C,0,0,0,0,0,0,0,,0,,0,,0,,lenal01,5,PHO,2013,0,,0,
nevada-las-vegas,Anthony Bennett,1,35,31,27.1,5.8,10.8,0.533,4.7,8.1,0.587,1,2.7,0.375,3.5,5.1,0.701,2.5,5.7,8.1,1,0.7,1.2,1.9,2.3,16.1,0,,0,,0,,0,,0,,0,,0,,0,bennean01,1,CLE,2013,0,,0,
pittsburgh,Steven Adams,1,32,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0,0,0,1,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2,1.1,1.6,7.2,C,11.85,3.02,3.40,28.5,33.0,16,6.65%,9.50,11.00,6 10.75,7 0,9 1.5,254.5,7 4.5,adamsst01,12,OKC,2013,7,6.895833333,9.125,7.375
baylor,Cory Jefferson,1,38,38,29,4.8,9.7,0.5,4.5,8.7,0.515,0.4,1,0.368,3.6,5.6,0.64,2.8,5.4,8.2,1,0.4,1.3,1.3,2.2,13.7,PF,12.63,3.39,3.36,33.0,37.5,0,5.25%,8.75,9.75,6 7.75,6 9,8 9,218.4,7 0.5,jeffeco01,60,SAS,2014,6.75,6.645833333,8.75,7.041666667
pittsburgh,Lamar Patterson,1,36,36,32.6,5.6,12.7,0.441,3.4,7,0.484,2.2,5.7,0.388,3.7,4.9,0.754,1,3.9,4.9,4.3,1.4,0.3,2.6,2,17.1,SG,11.63,3.13,3.45,27.5,32.5,0,10.75%,9.00,9.25,6 4,6 5.25,8 5,226,6 11,pattela01,48,MIL,2014,6.4375,6.333333333,8.416666667,6.916666667
connecticut,Shabazz Napier,1,40,40,35.1,5.3,12.4,0.429,3.2,7,0.448,2.2,5.4,0.405,5.2,6,0.87,1,4.9,5.9,4.9,1.8,0.3,2.9,2.1,18,PG,11.60,3.13,3.20,30.5,37.5,0,7.35%,8.25,8.50,5 11,6 1,7 9,175.2,6 3.25,napiesh01,24,CHH,2014,6.083333333,5.916666667,7.75,6.270833333
michigan-state,Adreian Payne,1,31,28,28.1,5.7,11.4,0.503,4.3,8.1,0.536,1.4,3.4,0.423,3.5,4.5,0.79,1.5,5.7,7.3,1.3,0.5,0.9,2,2.6,16.4,PF,0,0,0,0,0,0,7.55%,9.25,9.50,6 9,6 9.75,9 1,238.5,7 4,paynead01,15,ATL,2014,6.8125,6.75,9.083333333,7.333333333
oklahoma-state,Markel Brown,1,34,34,35.3,5.6,11.8,0.473,4,7.6,0.525,1.6,4.3,0.379,4.4,5.7,0.768,1.1,4.2,5.3,2.9,1,1,1.6,2.5,17.2,SG,12.62,2.90,3.18,36.5,43.5,0,4.20%,8.25,9.75,6 2.5,6 3.5,8 4,184.4,6 8.75,brownma02,44,MIN,2014,6.291666667,6.208333333,8.333333333,6.729166667
tennessee,Jordan McRae,1,37,37,32.2,6,13.8,0.436,3.9,7.8,0.502,2.1,6.1,0.351,4.5,5.7,0.788,0.7,2.8,3.5,2.5,0.7,1,2.1,2.1,18.7,SG,11.07,3.15,3.39,27.5,34.5,0,5.20%,8.75,8.50,6 3.75,6 5.25,8 8,179.4,7 0.5,mcraejo01,58,SAS,2014,6.4375,6.3125,8.666666667,7.041666667
missouri,Jordan Clarkson,1,35,35,35.1,6,13.3,0.448,5.1,10.1,0.501,0.9,3.3,0.281,4.6,5.6,0.831,0.8,3,3.8,3.4,1.1,0.2,2.7,2.2,17.5,PG,10.76,2.98,3.28,33.0,38.5,0,4.30%,8.25,9.00,6 3.25,6 5,8 2,186.3,6 8,clarkjo01,46,WAS,2014,6.416666667,6.270833333,8.166666667,6.666666667
arizona,Nick Johnson,1,38,38,33.1,5.4,12.5,0.432,3.8,8,0.469,1.6,4.4,0.367,3.8,4.9,0.781,0.8,3.2,4.1,2.8,1.1,0.7,1.7,2,16.3,SG,10.80,2.95,3.27,33.5,41.5,0,6.05%,8.75,9.75,6 1.5,6 3,8 0.5,198,6 7.25,johnsni01,42,HOU,2014,6.25,6.125,8.041666667,6.604166667
clemson,K.J. McDaniels,1,36,35,33.7,5.8,12.6,0.459,4.6,8.8,0.527,1.2,3.8,0.304,4.3,5.1,0.842,2.4,4.7,7.1,1.6,1.1,2.8,2.3,2.2,17.1,SF,12.71,3.20,3.10,33.0,37.0,0,4.45%,8.75,9.75,6 4.5,6 6,8 6,195.6,6 11.25,mcdankj01,32,PHI,2014,6.5,6.375,8.5,6.9375
colorado,Spencer Dinwiddie,1,17,17,31.1,3.6,7.7,0.466,2.1,4,0.515,1.5,3.7,0.413,6,7,0.857,0.5,2.6,3.1,3.8,1.5,0.2,1.8,1.9,14.7,PG,0,0,0,0,0,0,5.35%,8.25,9.00,6 4.5,6 6,8 7,204.9,6 8.25,dinwisp01,38,DET,2014,6.5,6.375,8.583333333,6.6875
louisiana-state,Johnny OBryant,1,34,34,30,5.9,12,0.494,5.9,11.9,0.495,0,0.1,0.333,3.5,5.5,0.634,3,4.7,7.7,1.6,0.5,0.9,3.2,3.2,15.4,0,,0,,0,,0,,0,,0,,0,,0,obryajo01,36,MIL,2014,0,,0,
duke,Rodney Hood,1,35,33,32.9,5.5,11.8,0.464,3.4,6.9,0.494,2,4.8,0.42,3.1,3.9,0.807,0.8,3.1,3.9,2.1,0.7,0.3,1.5,2.6,16.1,SF,11.21,3.14,3.38,29.0,36.0,0,7.45%,8.50,8.50,6 7.25,6 8.5,8 7,208.2,6 8.5,hoodro01,23,UTA,2014,6.708333333,6.604166667,8.583333333,6.708333333
tennessee,Jarnell Stokes,1,37,37,32.4,5.4,10.1,0.531,5.4,10.1,0.531,0,0,0,4.3,6.2,0.696,4.2,6.4,10.6,2,0.7,0.9,2.1,2,15.1,PF,11.92,3.20,3.26,31.0,36.0,0,8.20%,9.75,10.50,6 7,6 8.5,8 7.5,262.8,7 1.25,stokeja01,35,UTA,2014,6.708333333,6.583333333,8.625,7.104166667
michigan,Nik Stauskas,1,36,36,35.6,5.1,10.9,0.47,2.6,5.2,0.5,2.6,5.8,0.442,4.7,5.7,0.824,0.4,2.5,2.9,3.3,0.6,0.3,1.9,1.3,17.5,SG,10.79,2.92,3.27,29.0,35.5,0,12.05%,8.50,8.50,6 5.25,6 6.5,8 6,206.9,6 7.75,stausni01,8,SAC,2014,6.541666667,6.4375,8.5,6.645833333
michigan,Mitch McGary,1,8,4,24.8,3.8,6.9,0.545,3.8,6.6,0.566,0,0.3,0,2,3,0.667,2.9,5.4,8.3,1.5,1.9,0.8,1.6,3.1,9.5,0,,0,,0,,0,,0,,0,,0,,0,mcgarmi01,21,OKC,2014,0,,0,
