Team,Player,NBA,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,LaneAgilityTime,ShuttleRun,ThreeQuarterSprint,StandingVerticalLeap,MaxVerticalLeap,MaxBenchPress,BodyFat%,HandLength,HandWidth,HeightNoShoes,HeightShoes,StandingReach,Weight,Wingspan,PID,Pk,DraftTeam,RkYear,HeightShoesC,HeightNoShoesC,StandingReachC,WingspanC
iowa-state,Marcus Fizer,1,37,37,33.6,8.8,15.2,0.582,8.4,14.1,0.6,0.4,1.1,0.357,4.7,6.5,0.732,0,0,7.7,1.1,0.8,1.1,2.1,2.8,22.8,0,,0,,0,,0,,0,,0,,0,,0,fizerma01,4,CHI,2000,0,,0,
louisiana-state,Jabari Smith,1,34,0,28.5,4.6,8.3,0.553,4.2,7.3,0.579,0.4,1,0.371,2.9,4.9,0.595,0,0,7,2.2,0.7,1,2.6,2.5,12.5,0,,0,,0,,0,,0,,0,,0,,0,smithja01,45,SAC,2000,0,,0,
louisiana-state,Stromile Swift,1,34,0,29.8,6.1,10.1,0.608,5.9,9.3,0.634,0.2,0.7,0.28,3.7,6.1,0.617,0,0,8.2,0.9,1.5,2.8,2.4,2.6,16.2,0,,0,,0,,0,,0,,0,,0,,0,swiftst01,2,VAN,2000,0,,0,
michigan,Jamal Crawford,1,17,0,33.9,6.2,15,0.412,4.2,9.1,0.468,1.9,5.9,0.327,2.4,3,0.784,0,0,2.8,4.5,1.1,0.9,3.1,1.1,16.6,0,,0,,0,,0,,0,,0,,0,,0,crawfja01,8,CLE,2000,0,,0,
michigan-state,Mateen Cleaves,1,26,0,31.5,4.2,10,0.421,3,6.7,0.443,1.2,3.3,0.376,2.5,3.3,0.756,0,0,1.8,6.9,1.4,0.2,3.7,2.2,12.1,0,,0,,0,,0,,0,,0,,0,,0,cleavma01,14,DET,2000,0,,0,
michigan-state,Morris Peterson,1,39,0,29.1,5.6,12,0.465,3.4,6.9,0.494,2.2,5.1,0.425,3.5,4.5,0.773,0,0,6,1.3,1.2,0.3,2.2,2,16.8,0,,0,,0,,0,,0,,0,,0,,0,petermo01,21,TOR,2000,0,,0,
ohio-state,Michael Redd,1,30,0,33.5,6.6,15.1,0.436,5.4,11.5,0.474,1.1,3.6,0.315,3,3.9,0.776,0,0,6.5,2.1,1.2,0.2,2.1,1.9,17.3,0,,0,,0,,0,,0,,0,,0,,0,reddmi01,43,MIL,2000,0,,0,
oklahoma,Eduardo Najera,1,34,0,34.2,6.9,15.1,0.455,6.4,12.7,0.5,0.5,2.4,0.22,4.1,5.9,0.688,0,0,9.2,2.1,1.7,0.7,2.4,2.9,18.4,0,,0,,0,,0,,0,,0,,0,,0,najered01,38,HOU,2000,0,,0,
oklahoma-state,Desmond Mason,1,34,34,35.4,6.2,12.4,0.499,4.3,8.1,0.536,1.9,4.4,0.43,3.7,4.8,0.767,0,0,6.6,1.5,1.2,1,1.8,2,18,0,,0,,0,,0,,0,,0,,0,,0,masonde01,17,SEA,2000,0,,0,
syracuse,Jason Hart,1,32,0,33.8,3.9,9.5,0.411,2.7,5.9,0.46,1.2,3.6,0.33,2.9,4,0.734,0,0,3,6.5,1.8,0.1,3.5,2.4,11.9,PG,11.70,0,3.34,29.5,33.5,9,0,,0,,0,,0,,hartja01,49,MIL,2000,0,,0,
syracuse,Etan Thomas,1,29,0,32.4,5.1,8.5,0.602,5.1,8.5,0.602,0,0,0,3.4,5,0.678,0,0,9.3,0.6,0.8,3.7,2,3.2,13.6,0,,0,,0,,0,,0,,0,,0,,0,thomaet01,12,DAL,2000,0,,0,
texas,Chris Mihm,1,33,0,30.7,6.2,11.9,0.523,6,11.5,0.525,0.2,0.5,0.467,5,7,0.707,0,0,10.5,0.7,0.3,2.7,2.5,2.7,17.7,0,,0,,0,,0,,0,,0,,0,,0,mihmch01,7,CHI,2000,0,,0,
utah,Hanno Mottola,1,21,0,27.6,5.5,11.1,0.498,4.5,8.2,0.549,1,2.9,0.35,5,6,0.827,0,0,4.8,1.7,0.2,0.6,3,3.2,17,0,,0,,0,,0,,0,,0,,0,,0,mottoha01,40,ATL,2000,0,,0,
