Mike Bibby,14983603,2009,2008,ATL,Atlanta Hawks
Joe Johnson,14232567,2009,2008,ATL,Atlanta Hawks
Josh Smith,10000000,2009,2008,ATL,Atlanta Hawks
Speedy Claxton,5757818,2009,2008,ATL,Atlanta Hawks
Marvin Williams,5636143,2009,2008,ATL,Atlanta Hawks
Al Horford,4026720,2009,2008,ATL,Atlanta Hawks
Zaza Pachulia,4000000,2009,2008,ATL,Atlanta Hawks
Maurice Evans,2500000,2009,2008,ATL,Atlanta Hawks
Acie Law,2071680,2009,2008,ATL,Atlanta Hawks
Ronald Murray,1500000,2009,2008,ATL,Atlanta Hawks
Solomon Jones,797581,2009,2008,ATL,Atlanta Hawks
Randolph Morris,797581,2009,2008,ATL,Atlanta Hawks
Thomas Gardner,711517,2009,2008,ATL,Atlanta Hawks
Mario West,711517,2009,2008,ATL,Atlanta Hawks
Othello Hunter,442114,2009,2008,ATL,Atlanta Hawks
Kevin Garnett,24751934,2009,2008,BOS,Boston Celtic
Ray Allen,18388430,2009,2008,BOS,Boston Celtic
Paul Pierce,18077903,2009,2008,BOS,Boston Celtic
Kendrick Perkins,4578880,2009,2008,BOS,Boston Celtic
Brian Scalabrine,3206897,2009,2008,BOS,Boston Celtic
Eddie House,2650000,2009,2008,BOS,Boston Celtic
Tony Allen,2500000,2009,2008,BOS,Boston Celtic
Rajon Rondo,1315080,2009,2008,BOS,Boston Celtic
J.R. Giddens,957120,2009,2008,BOS,Boston Celtic
Leon Powe,797581,2009,2008,BOS,Boston Celtic
Glen Davis,711517,2009,2008,BOS,Boston Celtic
Gabe Pruitt,711517,2009,2008,BOS,Boston Celtic
Bill Walker,542114,2009,2008,BOS,Boston Celtic
Brad Miller,11375000,2009,2008,CHI,Chicago Bulls
Kirk Hinrich,10000000,2009,2008,CHI,Chicago Bulls
Luol Deng,9385000,2009,2008,CHI,Chicago Bulls
Ben Gordon,6404750,2009,2008,CHI,Chicago Bulls
Jerome James,6200000,2009,2008,CHI,Chicago Bulls
Tim Thomas,6049400,2009,2008,CHI,Chicago Bulls
John Salmons,5104000,2009,2008,CHI,Chicago Bulls
Derrick Rose,4822800,2009,2008,CHI,Chicago Bulls
Tyrus Thomas,3749880,2009,2008,CHI,Chicago Bulls
Joakim Noah,2295480,2009,2008,CHI,Chicago Bulls
Lindsey Hunter,1143473,2009,2008,CHI,Chicago Bulls
Anthony Roberson,797581,2009,2008,CHI,Chicago Bulls
Aaron Gray,711517,2009,2008,CHI,Chicago Bulls
Demetris Nichols,87893,2009,2008,CHI,Chicago Bulls
Ben Wallace,14500000,2009,2008,CLE,Cleveland Caveliers
LeBron James,14410581,2009,2008,CLE,Cleveland Caveliers
Wally Szczerbiak,13775000,2009,2008,CLE,Cleveland Caveliers
Zydrunas Ilgauskas,10841615,2009,2008,CLE,Cleveland Caveliers
Mo Williams,8353000,2009,2008,CLE,Cleveland Caveliers
Eric Snow,7312500,2009,2008,CLE,Cleveland Caveliers
Anderson Varejao,5784480,2009,2008,CLE,Cleveland Caveliers
Sasha Pavlovic,4500000,2009,2008,CLE,Cleveland Caveliers
Delonte West,3850000,2009,2008,CLE,Cleveland Caveliers
Daniel Gibson,3700000,2009,2008,CLE,Cleveland Caveliers
J.J. Hickson,1329480,2009,2008,CLE,Cleveland Caveliers
Lorenzen Wright,1262275,2009,2008,CLE,Cleveland Caveliers
Tarence Kinsey,797581,2009,2008,CLE,Cleveland Caveliers
Darnell Jackson,450000,2009,2008,CLE,Cleveland Caveliers
Jawad Williams,244463,2009,2008,CLE,Cleveland Caveliers
