Joe Johnson,12000000,2006,2005,ATL,Atlanta Hawks
Al Harrington,6957500,2006,2005,ATL,Atlanta Hawks
Zaza Pachulia,4000000,2006,2005,ATL,Atlanta Hawks
Marvin Williams,3883560,2006,2005,ATL,Atlanta Hawks
Tyronn Lue,3500000,2006,2005,ATL,Atlanta Hawks
Tony Delk,3375000,2006,2005,ATL,Atlanta Hawks
Josh Childress,2677200,2006,2005,ATL,Atlanta Hawks
Jason Collier,1650000,2006,2005,ATL,Atlanta Hawks
Josh Smith,1365360,2006,2005,ATL,Atlanta Hawks
John Edwards,1000000,2006,2005,ATL,Atlanta Hawks
Salim Stoudamire,675000,2006,2005,ATL,Atlanta Hawks
Royal Ivey,641748,2006,2005,ATL,Atlanta Hawks
Donta Smith,641748,2006,2005,ATL,Atlanta Hawks
Esteban Batista,398762,2006,2005,ATL,Atlanta Hawks
John Thomas,178675,2006,2005,ATL,Atlanta Hawks
Paul Pierce,13843156,2006,2005,BOS,Boston Celtic
Raef LaFrentz,10623288,2006,2005,BOS,Boston Celtic
Ricky Davis,5909800,2006,2005,BOS,Boston Celtic
Mark Blount,5515875,2006,2005,BOS,Boston Celtic
Vin Baker,5333333,2006,2005,BOS,Boston Celtic
Brian Scalabrine,2586207,2006,2005,BOS,Boston Celtic
Dan Dickau,2250000,2006,2005,BOS,Boston Celtic
Curtis Borchardt,1969993,2006,2005,BOS,Boston Celtic
Marcus Banks,1724280,2006,2005,BOS,Boston Celtic
Al Jefferson,1512840,2006,2005,BOS,Boston Celtic
Gerald Green,1253040,2006,2005,BOS,Boston Celtic
Delonte West,1010040,2006,2005,BOS,Boston Celtic
Tony Allen,969696,2006,2005,BOS,Boston Celtic
Kendrick Perkins,936480,2006,2005,BOS,Boston Celtic
Justin Reed,641748,2006,2005,BOS,Boston Celtic
Ryan Gomes,428762,2006,2005,BOS,Boston Celtic
Orien Greene,398762,2006,2005,BOS,Boston Celtic
Tim Thomas,13975000,2006,2005,CHI,Chicago Bulls
Tyson Chandler,9000000,2006,2005,CHI,Chicago Bulls
